#{"t_start": 1784121635.9929411, "env_id": "FetchReachDense-v4"}
r,l,t
-8.408696,50,44.354869
-13.773497,50,44.512378
-12.830076,50,44.971907
-8.276172,50,45.188549
-7.742091,50,45.382431
-5.96566,50,45.591534
-7.920576,50,45.748334
-3.57242,50,45.992902
-9.081364,50,46.165063
-10.173768,50,46.339638
-6.929531,50,46.454643
-7.947963,50,46.604781
-12.925274,50,46.771891
-5.814586,50,46.93788
-11.27614,50,47.098115
-9.364279,50,47.224962
-6.193243,50,47.354347
-9.049734,50,47.484157
-12.015603,50,47.63875
-7.50449,50,47.775817
-6.61015,50,47.915128
-8.909574,50,48.044868
-9.33914,50,48.191492
-12.854764,50,48.857866
-7.351363,50,49.036743
-7.024448,50,49.201733
-13.030275,50,49.334156
-11.470677,50,49.4821
-9.976875,50,49.608908
-6.718207,50,49.740544
-7.341561,50,49.906407
-8.958188,50,50.037726
-6.564085,50,50.168901
-7.906623,50,50.289332
-8.903043,50,50.417084
-9.631316,50,50.566895
-7.588766,50,50.693058
-14.384825,50,50.836327
-11.770969,50,50.976761
-7.152228,50,51.104063
-11.973445,50,51.228955
-6.630837,50,51.363431
-9.700205,50,51.503938
-7.487682,50,52.02923
-4.736765,50,52.206501
-10.801589,50,52.340871
-8.423039,50,52.477126
-9.931178,50,52.650053
-8.93137,50,52.789236
-8.433503,50,52.940705
-4.601999,50,53.06349
-5.158647,50,53.186448
-10.946984,50,53.317124
-7.126166,50,53.455741
-5.972873,50,53.596455
-8.732947,50,53.721685
-5.165579,50,53.879563
-5.649935,50,54.01769
-9.322511,50,54.162114
-12.280954,50,54.293175
-12.357916,50,54.414305
-5.385655,50,54.546519
-11.743812,50,54.674585
-8.326827,50,54.82041
-8.448599,50,55.314928
-8.38408,50,55.455394
-8.334022,50,55.583846
-5.654428,50,55.716296
-6.795506,50,55.8868
-11.573116,50,56.091868
-12.072367,50,56.234759
-7.290855,50,56.369345
-11.759762,50,56.496303
-3.631641,50,56.60857
-7.104026,50,56.755754
-8.563905,50,56.897799
-7.906427,50,57.019703
-4.237675,50,57.147711
-15.349568,50,57.266699
-7.403981,50,57.395867
-8.096431,50,57.522059
-7.826051,50,57.673182
-5.038323,50,57.848473
-9.927107,50,57.983608
